0,1,2,3,4,5,6,7,8,9
1.0,0.0039368838786494305,1.562280109074653e-05,6.199621869587913e-08,2.46020615014027e-10,9.76287655684124e-13,3.874218372256565e-15,1.5374124530349038e-17,6.100939139328784e-20,6.100939139328784e-20
1.0,0.00784270716358071,4.6621642665958644e-05,2.4651555423578203e-07,1.2223274886564497e-09,5.819152136533088e-12,2.6935828857457135e-14,1.2214248196980892e-16,5.454663474484244e-19,5.454663474484244e-19
1.0,0.011717775933496469,9.275317159392292e-05,6.126416824500892e-07,3.643824554081333e-09,2.0233014294334714e-11,1.0701395774250049e-13,5.458424111252013e-16,2.7093685980136933e-18,2.7093685980136933e-18
1.0,0.015562392890321828,0.00015377739614896098,1.2180407356129985e-06,8.448612992363248e-09,5.3599942206115734e-11,3.1886999423949153e-13,1.8069066110013266e-15,9.868951542394852e-18,9.868951542394852e-18
1.0,0.019376857399110246,0.00022945764056713758,2.1189865681872217e-06,1.679071279277202e-08,1.1980750051489047e-10,7.917854514417453e-13,4.934688556471819e-15,2.9412038821589105e-17,2.9412038821589105e-17
1.0,0.0231614655274554,0.00031956050021768133,3.370385615906189e-06,3.003294387286088e-08,2.3804186174705814e-10,1.7301586751680407e-12,1.1761534851736893e-14,7.596835170154492e-17,7.596835170154492e-17
1.0,0.02691651008441539,0.00042385579738170705,5.025801354452472e-06,4.973996376887152e-08,4.335470879296516e-10,3.4369526361536607e-12,2.5307589060710313e-14,1.760942111147775e-16,1.760942111147775e-16
1.0,0.03064228065895552,0.000542116537629945,7.1374783638969116e-06,7.767145895867519e-08,7.383514713569368e-10,6.339840859987075e-12,5.0266321390776344e-14,3.7486531098507657e-16,3.7486531098507657e-16
1.0,0.03433906365791583,0.0006741188667912978,9.756366004970063e-06,1.1577548693032983e-07,1.1919618042572042e-09,1.1019903251455137e-11,9.360011272158988e-14,7.44806691426338e-16,7.44806691426338e-16
1.0,0.038007142343509444,0.000819642028504155,1.293214171314615e-05,1.6618196615935314e-07,1.8420264283802072e-09,1.824272815802857e-11,1.652545792072479e-13,1.3976218004337174e-15,1.3976218004337174e-15
1.0,0.04164679687035771,0.0009784683223425113,1.671323391642959e-05,2.311963112070041e-07,2.7449678971569422e-09,2.899178149352572e-11,2.7899970439699356e-13,2.4992127046828497e-15,2.4992127046828497e-15
