0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.015030362199143532,0.00023308491143796784,3.6145886053990835e-06,5.605361027308718e-08,8.692572150407248e-10,1.3480097039586125e-11,2.0904401258049419e-13,3.2417718557533104e-15,5.027211559435431e-17,7.796000825433907e-19,1.2089729694405709e-20,1.8748274577774967e-22,2.907408259146538e-24,4.508693720207239e-26,6.99190387132061e-28,1.0842767945554952e-29,1.6814535623372953e-31,2.6075315206048087e-33,2.6075315206048087e-33
1.0,0.02960517755071811,0.0006850715120458541,1.4128011366500739e-05,2.734332560010149e-07,5.083003496777652e-09,9.189360109837303e-11,1.6277090932777613e-12,2.8384631761694108e-14,4.889143669272369e-16,8.337680465534143e-18,1.4101794075354225e-19,2.368607168978163e-21,3.955003443992176e-23,6.570362001325002e-25,1.0866893494986584e-26,1.790310983808912e-28,2.9393539837171746e-30,4.814880425851623e-32,4.814880425851623e-32
1.0,0.043741651773603035,0.0013425292717219675,3.4516749598005425e-05,8.003669430863139e-07,1.733973099840042e-08,3.579877619099771e-10,7.129576144798987e-12,1.3808109969755478e-13,2.6153005874146634e-15,4.8640257738758167e-17,8.910076393552625e-19,1.6113702559887164e-20,2.8822769632482223e-22,5.10670056875838e-24,8.972785181215876e-26,1.5650296891999953e-27,2.7119492435262455e-29,4.679488921098104e-31,4.679488921098104e-31
1.0,0.05745626387603551,0.0021927413033092326,6.747070478702402e-05,1.822305578479207e-06,4.507108199023246e-08,1.0460224907604751e-09,2.313354444463711e-11,4.926168686820827e-13,1.0174854260057484e-14,2.0494437820876683e-16,4.042025735594748e-18,7.830427739057345e-20,1.4937461042924092e-21,2.8115315985579376e-23,5.229912300622701e-25,9.627615177133332e-27,1.755932878301768e-28,3.18361070917135e-30,3.18361070917135e-30
1.0,0.07076479901275677,0.003223667341713026,0.00011541307090634636,3.5566825573162244e-06,9.885538559969295e-08,2.5471894744435043e-09,6.192982938341668e-11,1.43799299705253e-12,3.216463384135648e-14,6.974944613706508e-16,1.4735279002578492e-17,3.0442582099049197e-19,6.1691143974022645e-21,1.2292612367858114e-22,2.4133307675092566e-24,4.675894687407015e-26,8.953572974349425e-28,1.70183210976075e-29,1.70183210976075e-29
1.0,0.08368237978669031,0.004423908645208555,0.0001805189721973811,6.2481298758805894e-06,1.9274496465296303e-07,5.458744254718816e-09,1.4469762368158184e-10,3.638136279671757e-12,8.760404146338204e-14,2.034779631606503e-15,4.584093957176154e-17,1.0060331109611406e-18,2.1582273326304635e-20,4.5386874786690805e-22,9.378181199618101e-24,1.907665391311127e-25,3.8263947092861216e-27,7.608852815827024e-29,7.608852815827024e-29
1.0,0.09622349607127045,0.005782674718392422,0.00026473293950609624,1.0164117414469345e-05,3.445164846397093e-07,1.0635553981721001e-08,3.0523126136929045e-10,8.260896499371216e-12,2.130453606682809e-13,5.276672271525755e-15,1.2627386972400431e-16,2.9336024374274828e-18,6.641805499705844e-20,1.4700269887478626e-21,3.188903549696111e-23,6.794758299982651e-25,1.4246842232453092e-26,2.9582466457682104e-28,2.9582466457682104e-28
1.0,0.10840203342572056,0.007289751761539178,0.0003697852940300441,1.5590984267654663e-05,5.758528293479131e-07,1.924293530390746e-08,5.943738965556061e-10,1.7227188348482232e-11,4.737207107971044e-13,1.2462456163454743e-14,3.1569477536693523e-16,7.739989962310217e-18,1.8442486285618945e-19,4.285254597852255e-21,9.7371908539649e-23,2.168784395037668e-24,4.744556538902234e-26,1.0269330259549922e-27,1.0269330259549922e-27
1.0,0.12023130017195588,0.008935472756147367,0.0004972075033506301,2.2830333090519806e-05,9.124642594810661e-07,3.280981176439398e-08,1.0851428281294061e-09,3.353211522735157e-11,9.793322546313137e-13,2.727077154912994e-14,7.290000716463712e-16,1.8809611627562588e-17,4.705056870273864e-19,1.1451257191994108e-20,2.719894904677939e-22,6.3206594505407844e-24,1.4401940223252812e-25,3.244156643385541e-27,3.244156643385541e-27
1.0,0.13172405319834718,0.010710689101215908,0.0006483465708684855,3.219576038702949e-05,1.384155937428637e-06,5.328135955096168e-08,1.8785183337679194e-09,6.164621898126017e-11,1.905588813889597e-12,5.599360016175971e-14,1.5751747232830372e-15,4.2665012098001946e-17,1.1178303154273427e-18,2.843780785002478e-20,7.047163996242059e-22,1.705677149938173e-23,4.041464271168783e-25,9.46041012391614e-27,9.46041012391614e-27
